Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM4","MediaConvertJobComplianceStack/EMCComplianceEventLambda/LambdaFunctionServiceRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","MediaConvertJobComplianceStack/EMCComplianceEventLambda/LambdaFunctionServiceRole/Resource","Suppressed","CDK construct adds the default Lambda function policy for CloudWatch log group","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MediaConvertJobComplianceStack/EMCComplianceEventLambda/LambdaFunctionServiceRole/DefaultPolicy/Resource","Suppressed","CDK construct adds the default Lambda function policy for CloudWatch log group","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MediaConvertJobComplianceStack/EMCComplianceEventLambda/LambdaFunctionServiceRole/DefaultPolicy/Resource","Suppressed","CDK construct adds the default Lambda function policy for CloudWatch log group","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","MediaConvertJobComplianceStack/EMCComplianceEventLambda/LambdaFunction/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
